Model,Params,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
Random Forest,"{'max_depth': 15, 'min_samples_split': 2, 'n_estimators': 200}",511663.0561244252,0.989866931899842,489.60214328898195,1.5680762407936886,1.5680762407936886,715.3062673599507,2.3428398699622583,36.67388463020325
Random Forest,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 50}",530059.1476292287,0.9895026123622798,498.916244047861,1.596345856774427,1.596345856774427,728.0516105532826,2.3838025438085593,9.838295936584473
Random Forest,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 100}",523334.24351859157,0.9896357935847746,493.9871039657532,1.5822473584437557,1.5822473584437557,723.4184428935936,2.370818835553366,19.75463628768921
Random Forest,"{'max_depth': 15, 'min_samples_split': 5, 'n_estimators': 200}",524637.0366081877,0.9896099928337936,495.1522506393339,1.5859271947632505,1.5859271947632505,724.3183254675997,2.3704071724545295,35.81755709648132
Random Forest,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 50}",579120.6287158151,0.988530989879487,518.9234482747644,1.661407509258685,1.661407509258685,760.9997560550299,2.492344213574247,9.722809553146362
Random Forest,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 100}",565696.2826744942,0.98879684806684,513.1486086473453,1.641951471521479,1.641951471521479,752.1278366571032,2.4579906777732328,19.341052055358887
Random Forest,"{'max_depth': 15, 'min_samples_split': 10, 'n_estimators': 200}",558238.6817956757,0.9889445397492165,509.9765045210797,1.6323757305484632,1.6323757305484632,747.1537203251254,2.447006195180478,35.0379536151886
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.7}",46604644.78640811,0.07703314954693963,5670.946204674068,18.649476731060453,18.649476731060453,6826.759464519613,22.83219253579309,2.897429943084717
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",46606833.01896858,0.0769898133918493,5671.009302463523,18.649893278072778,18.649893278072778,6826.919731399263,22.833283547957418,3.2631852626800537
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",46614728.77886688,0.07683344432866535,5671.230592735747,18.650613008336915,18.650613008336915,6827.497988199402,22.83494064556295,3.9788410663604736
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",43037350.01533453,0.14768050314410053,5441.311796713869,17.887891637996045,17.887891637996045,6560.285818112999,21.923332677830988,5.782138824462891
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",43048525.549638756,0.14745918083285503,5441.760006953872,17.889181431264372,17.889181431264372,6561.137519488428,21.925547258272207,6.502811908721924
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",43055469.4276901,0.14732166301066463,5441.794031704571,17.889322785323095,17.889322785323095,6561.666665389984,21.92730970620865,6.186557769775391
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",36787282.45944851,0.27145797626105783,5014.459901425806,16.473100647192624,16.473100647192624,6065.252052425234,20.238372659318827,11.579059839248657
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",36791796.92273539,0.27136857101013323,5014.7391007277565,16.47410577009147,16.47410577009147,6065.624198937435,20.23986521477369,13.046481132507324
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",36783224.736880265,0.2715383361358298,5014.129135975979,16.47287404014386,16.47287404014386,6064.917537516917,20.23958966216789,14.093088865280151
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.7}",46141758.978223115,0.08620022416917816,5646.271688180144,18.572870662784936,18.572870662784936,6792.772554577631,22.7336675385289,4.646329879760742
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",46144175.36983835,0.08615236951072525,5646.348054886054,18.573166259626646,18.573166259626646,6792.950417148527,22.734525711014765,5.183726787567139
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",46151785.94437535,0.0860016483102366,5645.6327557107425,18.5713362801651,18.5713362801651,6793.510575863951,22.738096506516882,6.4211084842681885
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",42189962.223321855,0.16446232489364432,5395.486039634906,17.744275312618722,17.744275312618722,6495.380067657462,21.730763390963634,7.321997880935669
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",42188106.1820841,0.16449908227144172,5395.597385119926,17.744559992836624,17.744559992836624,6495.2371921342565,21.73113964139936,10.292178869247437
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",42202871.96458396,0.16420665803280976,5394.608512080994,17.742024823778465,17.742024823778465,6496.373754994702,21.737388023367252,12.77550196647644
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.7}",35331035.697275825,0.30029775164664296,4930.594750833655,16.208613850463205,16.208613850463205,5943.991562685451,19.874175292770666,16.38620090484619
Gradient Boosting,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",35339235.32513301,0.3001353647272077,4930.307489909628,16.20803027100397,16.20803027100397,5944.681263544162,19.878219819841267,19.002596378326416
