Model,Params,MSE,RMSE,MAE,MAPE,R2,CVRMSE,Training Time (s),Train_Loss_Final,Val_Loss_Final,Overfit_Gap,Loss_Ratio
Linear Regression,{},141776.29418755535,376.5319298380356,252.09488709638833,0.8744802126492054,0.996274214786553,1.2586575430712545,0.8778932094573975,437.075837647969,376.5319298380356,-60.543907809933444,0.8614796275727854
Ridge Regression,{'alpha': 0.01},141877.72800065493,376.6666005908341,252.12451981331338,0.874558990003157,0.9962715491744832,1.2588173874617667,0.1878664493560791,437.0804987281129,376.6666005908341,-60.41389813727881,0.8617785549502188
Ridge Regression,{'alpha': 0.1},143002.97880554674,378.15734662379197,252.6503831222624,0.8762361728860133,0.9962419783436592,1.2614396933796512,0.199324369430542,437.4491726576715,378.15734662379197,-59.291826033879545,0.8644600796164296
Ridge Regression,{'alpha': 1},158254.53192649322,397.8121817220951,263.4154804139598,0.9130822635466637,0.9958411778330678,1.3118961820626118,0.20710086822509766,451.0849306589172,397.8121817220951,-53.2727489368221,0.8819008454594026
Ridge Regression,{'alpha': 10},265867.7189814833,515.6236214347471,346.11320250284433,1.2047411304829458,0.9930131759911592,1.6589208484081759,0.17570757865905762,561.5994329902554,515.6236214347471,-45.97581155550836,0.9181341560287756
Lasso Regression,{'alpha': 0.01},4796216.957532484,2190.026702470197,1859.8214965309917,7.229293033053924,0.8739586591449591,7.168837912598793,3.2741286754608154,2174.401621838721,2190.026702470197,15.625080631476067,1.0071859220829054
Lasso Regression,{'alpha': 0.1},51073484.12016093,7146.57149409148,6004.679549096701,23.42770773499329,-0.34217665248311935,24.64207451465136,0.1937880516052246,7167.191517185713,7146.57149409148,-20.620023094232238,0.9971229981723261
Lasso Regression,{'alpha': 1},51073484.12016093,7146.57149409148,6004.679549096701,23.42770773499329,-0.34217665248311935,24.64207451465136,0.13452792167663574,7167.191517185713,7146.57149409148,-20.620023094232238,0.9971229981723261
Random Forest,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",363156.8987735814,602.6250067609054,435.78741737976344,1.478075952042126,0.9904564820842197,1.944031500472457,155.65961074829102,639.3779285769597,602.6250067609054,-36.752921816054254,0.942517687625136
Random Forest,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",366169.085429054,605.1190671504692,435.92351416053765,1.4796487292158194,0.990377323854239,1.9483915798765836,289.4856433868408,638.3006677216855,605.1190671504692,-33.181600571216336,0.9480157200999759
Random Forest,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",358232.2478560627,598.5250603408872,431.0748925481237,1.4624883336542944,0.9905858985827607,1.9251613130294327,597.8027520179749,637.1027646502218,598.5250603408872,-38.57770430933465,0.9394482233482155
