time,weekday,uid,last
2022-03-01T22:00:00Z,Tuesday,MLU00390001,4.6
2022-03-01T22:15:00Z,Tuesday,MLU00390001,4.6
2022-03-01T22:30:00Z,Tuesday,MLU00390001,4.5
2022-03-01T22:45:00Z,Tuesday,MLU00390001,4.7
2022-03-01T23:00:00Z,Tuesday,MLU00390001,4.6
2022-03-01T23:15:00Z,Tuesday,MLU00390001,4.6
2022-03-01T23:30:00Z,Tuesday,MLU00390001,4.8
2022-03-01T23:45:00Z,Tuesday,MLU00390001,4.6
2022-03-02T00:00:00Z,Wednesday,MLU00390001,4.9
2022-03-02T00:15:00Z,Wednesday,MLU00390001,4.4
2022-03-02T00:30:00Z,Wednesday,MLU00390001,4.8
2022-03-02T00:45:00Z,Wednesday,MLU00390001,4.7
2022-03-02T01:00:00Z,Wednesday,MLU00390001,4.8
2022-03-02T01:15:00Z,Wednesday,MLU00390001,4.8
2022-03-02T01:30:00Z,Wednesday,MLU00390001,4.6
2022-03-02T01:45:00Z,Wednesday,MLU00390001,4.6
2022-03-02T02:00:00Z,Wednesday,MLU00390001,4.8
2022-03-02T02:15:00Z,Wednesday,MLU00390001,4.7
2022-03-02T02:30:00Z,Wednesday,MLU00390001,4.8
2022-03-02T02:45:00Z,Wednesday,MLU00390001,4.7
2022-03-02T03:00:00Z,Wednesday,MLU00390001,4.7
2022-03-02T03:15:00Z,Wednesday,MLU00390001,4.7
2022-03-02T03:30:00Z,Wednesday,MLU00390001,4.6
2022-03-02T03:45:00Z,Wednesday,MLU00390001,4.8
2022-03-02T04:00:00Z,Wednesday,MLU00390001,4.6
2022-03-02T04:15:00Z,Wednesday,MLU00390001,4.5
2022-03-02T04:30:00Z,Wednesday,MLU00390001,4.9
2022-03-02T04:45:00Z,Wednesday,MLU00390001,4.5
2022-03-02T05:00:00Z,Wednesday,MLU00390001,4.5
2022-03-02T05:15:00Z,Wednesday,MLU00390001,4.6
2022-03-02T05:30:00Z,Wednesday,MLU00390001,4.5
2022-03-02T05:45:00Z,Wednesday,MLU00390001,6.0
2022-03-02T06:00:00Z,Wednesday,MLU00390001,7.6
2022-03-02T06:15:00Z,Wednesday,MLU00390001,7.9
2022-03-02T06:30:00Z,Wednesday,MLU00390001,8.9
2022-03-02T06:45:00Z,Wednesday,MLU00390001,8.6
2022-03-02T07:00:00Z,Wednesday,MLU00390001,8.3
2022-03-02T07:15:00Z,Wednesday,MLU00390001,8.4
2022-03-02T07:30:00Z,Wednesday,MLU00390001,8.8
2022-03-02T07:45:00Z,Wednesday,MLU00390001,9.4
2022-03-02T08:00:00Z,Wednesday,MLU00390001,11.2
2022-03-02T08:15:00Z,Wednesday,MLU00390001,47.9
2022-03-02T08:30:00Z,Wednesday,MLU00390001,49.2
2022-03-02T08:45:00Z,Wednesday,MLU00390001,43.1
2022-03-02T09:00:00Z,Wednesday,MLU00390001,45.6
2022-03-02T09:15:00Z,Wednesday,MLU00390001,48.6
2022-03-02T09:30:00Z,Wednesday,MLU00390001,49.1
2022-03-02T09:45:00Z,Wednesday,MLU00390001,51.5
2022-03-02T10:00:00Z,Wednesday,MLU00390001,49.1
2022-03-02T10:15:00Z,Wednesday,MLU00390001,46.9
2022-03-02T10:30:00Z,Wednesday,MLU00390001,47.7
2022-03-02T10:45:00Z,Wednesday,MLU00390001,48.0
2022-03-02T11:00:00Z,Wednesday,MLU00390001,49.2
2022-03-02T11:15:00Z,Wednesday,MLU00390001,46.9
2022-03-02T11:30:00Z,Wednesday,MLU00390001,47.2
2022-03-02T11:45:00Z,Wednesday,MLU00390001,45.3
2022-03-02T12:00:00Z,Wednesday,MLU00390001,46.1
2022-03-02T12:15:00Z,Wednesday,MLU00390001,46.6
2022-03-02T12:30:00Z,Wednesday,MLU00390001,45.1
2022-03-02T12:45:00Z,Wednesday,MLU00390001,47.5
2022-03-02T13:00:00Z,Wednesday,MLU00390001,46.3
2022-03-02T13:15:00Z,Wednesday,MLU00390001,46.9
2022-03-02T13:30:00Z,Wednesday,MLU00390001,41.7
2022-03-02T13:45:00Z,Wednesday,MLU00390001,40.9
2022-03-02T14:00:00Z,Wednesday,MLU00390001,41.0
