architecture,d_model,num_heads,ff_dim,num_layers,dropout_rate,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s),Train Loss Final,Validation Loss Final,Overfit Gap,Loss Ratio
encoder,32,2,64,1,0.0,20,64,414109.0962492626,0.9918903116300639,458.46296350114164,1.462564516794868,1.462564516794868,643.5130894156409,2.0709179026038407,55.40478253364563,0.00033961283043026924,0.0002821758680511266,-5.743696237914264e-05,0.8308751695088391
encoder,32,2,64,1,0.0,20,128,503719.27839348046,0.9901354343319198,489.325760563128,1.5759092422618612,1.5759092422618612,709.7318355502172,2.291453571176893,31.801520586013794,0.0004137000651098788,0.00034323669387958944,-7.046337123028934e-05,0.8296752232524444
encoder,32,2,64,1,0.0,50,64,349932.77461706096,0.9931471059721343,429.8354333309876,1.3858311260037746,1.3858311260037746,591.5511597630934,1.7589597497964182,123.20025610923767,0.00023502603289671242,0.0002384459221502766,3.419889253564179e-06,1.0145511082811287
encoder,32,2,64,1,0.0,50,128,354360.790513509,0.9930603901058503,420.04228041217726,1.3524147285629957,1.3524147285629957,595.282110023062,1.9060104153796866,67.18564939498901,0.00027279689675197005,0.00024146315990947187,-3.133373684249818e-05,0.8851389542345595
encoder,32,2,64,1,0.2,20,64,3441745.576337735,0.9325987177642087,1460.6031274915833,4.079596132951119,4.079596132951119,1855.1942152609615,3.181008077922605,59.36410641670227,0.0004788024234585464,0.0023452225141227245,0.0018664200906641781,4.898100759771465
encoder,32,2,64,1,0.2,20,128,6729769.303257328,0.868207841012679,2349.691356079111,6.996073086839974,6.996073086839974,2594.1798903039335,2.522379211200367,34.58538007736206,0.0005810559378005564,0.004585697781294584,0.004004641843494028,7.892007435037338
encoder,32,2,64,1,0.2,50,64,2412466.9743129914,0.9527555527235638,1363.1610636146781,4.002519150912675,4.002519150912675,1553.211825319712,2.2913254963265373,129.21240544319153,0.00029844875098206103,0.0016438664169982076,0.0013454176660161465,5.508035840622486
encoder,32,2,64,1,0.2,50,128,6084200.990048922,0.8808503013909802,2131.299947941796,6.095819271873131,6.095819271873131,2466.6173173090556,2.937683524809562,76.40062189102173,0.00033096567494794726,0.004145802929997444,0.003814837255049497,12.526383379936535
encoder,32,2,64,2,0.0,20,64,525853.9885947462,0.9897019601495921,526.2128406115634,1.6755479416606138,1.6755479416606138,725.1579059727242,2.1829858081845774,69.40374708175659,0.0003228661953471601,0.00035831949207931757,3.545329673215747e-05,1.1098080172005511
encoder,32,2,64,2,0.0,20,128,473477.8893783631,0.9907276653237235,496.95851444967934,1.5781175156616094,1.5781175156616094,688.0972964475031,2.1639643149109613,40.06939649581909,0.0004286709881853312,0.0003226302214898169,-0.00010604076669551432,0.7526290100843755
encoder,32,2,64,2,0.0,50,64,270964.21423429006,0.9946935835103656,358.53137272446133,1.14659995340335,1.14659995340335,520.5422309806286,1.6947300602697186,151.806556224823,0.00022024729696568102,0.00018463634478393942,-3.5610952181741595e-05,0.8383137833138061
encoder,32,2,64,2,0.0,50,128,396799.86588491447,0.992229286227458,467.8810386478474,1.5023877645479828,1.5023877645479828,629.9205234669803,1.808204242473143,84.1977367401123,0.00024321638920810074,0.0002703812497202307,2.7164860512129962e-05,1.1116900904605043
encoder,32,2,64,2,0.2,20,64,4682441.4047388425,0.9083016022906663,1789.5218794590664,5.0263089335992115,5.0263089335992115,2163.8949615771194,3.3408488835842354,73.70437049865723,0.0003986054507549852,0.0031906377989798784,0.002792032348224893,8.004501175125926
encoder,32,2,64,2,0.2,20,128,7171632.861904987,0.8595546242755452,2391.451476479704,7.014046018883286,7.014046018883286,2677.9904521683766,2.8822600082577905,43.85376834869385,0.0006082216277718544,0.004886785987764597,0.0042785643599927425,8.034548205177675
encoder,32,2,64,2,0.2,50,64,3313469.0797634637,0.9351108152327906,1532.0068989309611,4.357897179686621,4.357897179686621,1820.2936795373057,2.7716902264452266,162.98641777038574,0.0003064100455958396,0.0022578141652047634,0.0019514041196089238,7.368603600493115
encoder,32,2,64,2,0.2,50,128,5742742.033868927,0.8875372487457338,2022.020653544778,5.709540937776317,5.709540937776317,2396.4018932284557,3.366851875887137,93.97309637069702,0.00032113876659423113,0.003913132008165121,0.00359199324157089,12.18517480671988
encoder,32,2,128,1,0.0,20,64,458992.7667362221,0.9910113341242691,485.48494957988754,1.5480910454490966,1.5480910454490966,677.4900491787478,2.124229249714325,59.20074391365051,0.00031446866341866553,0.0003127598902210593,-1.708773197606206e-06,0.9945661574700967
encoder,32,2,128,1,0.0,20,128,448793.6501228542,0.9912110681029047,496.4651389626698,1.584996820773973,1.584996820773973,669.9206297188155,2.0340632264984193,33.17523002624512,0.0003924223128706217,0.00030566591885872185,-8.675639401189983e-05,0.778920843268913
encoder,32,2,128,1,0.0,50,64,305925.67876655754,0.9940089171147678,377.2657346252386,1.2019628498025763,1.2019628498025763,553.1054861114266,1.7681860357226575,126.65291142463684,0.00023110551410354674,0.0002084592415485531,-2.264627255499363e-05,0.9020089475457216
encoder,32,2,128,1,0.0,50,128,301926.84749793744,0.9940872280616322,382.5032971305088,1.2204315715483798,1.2204315715483798,549.4787052269974,1.7810172370597055,68.83290767669678,0.0002571891527622938,0.00020575443340931088,-5.143471935298294e-05,0.800012096931159
encoder,32,2,128,1,0.2,20,64,6139650.610090957,0.8797644060487982,2127.52435874045,6.091246285110574,6.091246285110574,2477.83183652381,3.0636272353776612,62.23176074028015,0.0004821823677048087,0.004183589015156031,0.003701406647451222,8.676362503817678
encoder,32,2,128,1,0.2,20,128,5008082.526591307,0.9019244228406639,1879.637808917824,5.335173642213143,5.335173642213143,2237.874555597634,3.136232163871411,34.326372385025024,0.0004751715750899166,0.0034123610239475965,0.00293718944885768,7.181323973981138
encoder,32,2,128,1,0.2,50,64,2859435.471163943,0.9440023636401293,1341.159644938993,3.7500532871588352,3.7500532871588352,1690.9865378423162,3.0121097684471367,136.03097248077393,0.00028589245630428195,0.0019484320655465126,0.0016625396092422307,6.815262251875409
encoder,32,2,128,1,0.2,50,128,4825924.039914385,0.905491716035305,1815.4073482412896,5.099433446086132,5.099433446086132,2196.7985888365793,3.313770821136839,75.58565044403076,0.0003322115517221391,0.0032877789344638586,0.0029555673827417195,9.896642417822209
encoder,32,2,128,2,0.0,20,64,312672.4657962939,0.9938767916898373,395.32101341202326,1.2619395068510029,1.2619395068510029,559.1712311951446,1.7718628103612337,69.01140356063843,0.0002933560172095895,0.00021305654081515968,-8.02994763944298e-05,0.7262729527137687
encoder,32,2,128,2,0.0,20,128,479944.6428839048,0.9906010239237394,523.2780857342999,1.7102534390066346,1.7102534390066346,692.7803713182878,2.06869633053441,39.642948627471924,0.00038568329182453454,0.0003271342720836401,-5.854901974089444e-05,0.8481940468203348
encoder,32,2,128,2,0.0,50,64,269971.32638661144,0.9947130276884913,372.3470051318066,1.225180796023737,1.225180796023737,519.5876503407403,1.671061384715911,159.97271871566772,0.00020172401855234057,0.00018395976803731173,-1.7764250515028834e-05,0.9119378513153127
encoder,32,2,128,2,0.0,50,128,386773.64562977856,0.9924256342974085,466.0385670603543,1.5426548756941676,1.5426548756941676,621.9112843724405,1.8767049262406028,84.89554643630981,0.00024268678680527955,0.00026354362489655614,2.0856838091276586e-05,1.085941382989306
encoder,32,2,128,2,0.2,20,64,5179565.152451765,0.8985661999250543,1890.629190567195,5.328510670075404,5.328510670075404,2275.8658028213713,3.1453790630339666,73.10279321670532,0.0004099095531273633,0.003529379377141595,0.0031194698240142316,8.610141798878688
