num_layers,dropout,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s),Train Loss Final,Validation Loss Final,Overfit Gap,Loss Ratio
1,True,10,16,384695.55088131566,0.9924663305800207,443.35742531562295,1.4457435907341345,1.4457435907341345,620.238301688404,2.011163596594849,332.5412015914917,0.00038525875424966216,0.00026213136152364314,-0.00012312739272601902,0.6804033876768759
1,True,10,32,476581.55963066843,0.9906668847256221,477.68008565965573,1.5321126856631526,1.5321126856631526,690.348868059236,2.1162948138030764,156.32470440864563,0.0004741943848785013,0.00032474510953761637,-0.00014944927534088492,0.6848354174856436
1,True,10,64,566230.425429611,0.9889112498677246,549.8743797392812,1.7249892637523103,1.7249892637523103,752.4828406213733,2.077220896051829,79.88289403915405,0.0005355871398933232,0.0003857495612464845,-0.00014983757864683867,0.720236787842436
1,True,20,16,330588.2084530926,0.9935259394840332,405.6225456444123,1.2856967877837084,1.2856967877837084,574.96800646044,1.7942959555057703,663.8774683475494,0.0003065988712478429,0.0002252567937830463,-8.13420774647966e-05,0.7346954438098934
1,True,20,32,483506.3881691237,0.9905312726321647,508.57606912387496,1.6936014319395132,1.6936014319395132,695.3462361795911,2.2709627067629725,312.8961169719696,0.00036839040694758296,0.0003294635680504143,-3.8926838897168636e-05,0.8943326477480522
1,True,20,64,441020.310093352,0.9913632969860753,466.94874564520484,1.4713465768828324,1.4713465768828324,664.0936004008411,2.1093687417450315,159.9407937526703,0.0003872560628224164,0.0003007453342434019,-8.651072857901454e-05,0.776605876875101
1,True,50,16,317355.29682449927,0.993785085661953,411.99603002111,1.361288570371277,1.361288570371277,563.3429655409742,1.8267691248109144,1652.2500376701355,0.00025215756613761187,0.00021624828514177352,-3.5909280995838344e-05,0.8575918956314748
1,True,50,32,262201.0976693708,0.9948651956414069,349.1526445662924,1.117230296020388,1.117230296020388,512.05575640683,1.6584793599203507,780.6527853012085,0.00023757433518767357,0.0001786651264410466,-5.890920874662697e-05,0.7520388357602212
1,True,50,64,3064671.9460205687,0.9399831236178585,1438.9706197723099,4.057462707168737,4.057462707168737,1750.6204460192303,3.228381117872397,393.6991307735443,0.00023791068815626204,0.0020848263520747423,0.0018469156639184803,8.763063014240908
1,False,10,16,313059.9929349956,0.9938692025681343,384.8321814312608,1.2406773437481637,1.2406773437481637,559.517643095368,1.8293436546381412,322.13517808914185,0.0002633219992276281,0.00021334417397156358,-4.9977825256064534e-05,0.8102026211153694
1,False,10,32,385994.42677244847,0.9924408940976934,442.59556244022644,1.461775881329923,1.461775881329923,621.2844974506031,1.9870588695942986,153.7547299861908,0.0002654484414961189,0.0002630184171721339,-2.4300243239849806e-06,0.9908455882796339
1,False,10,64,440168.68331174547,0.9913799747839523,449.0314182672213,1.440718447541668,1.440718447541668,663.4520957173513,2.120412280181633,78.27352404594421,0.0003256223280914128,0.0002995869144797325,-2.603541361168027e-05,0.9200441389744892
1,False,20,16,293412.62501456786,0.994253965985715,387.5990520379847,1.226463854543105,1.226463854543105,541.675756347437,1.6352953369416752,644.8012299537659,0.00020317175949458033,0.00019993596652057022,-3.23579297401011e-06,0.9840736085464848
1,False,20,32,282089.40594751434,0.9944757137782897,363.2505804899657,1.1616900689225182,1.1616900689225182,531.1208957925816,1.7130637048129862,310.5637037754059,0.00021075975382700562,0.00019221713591832668,-1.854261790867895e-05,0.912020119724096
1,False,20,64,410460.26822702197,0.9919617683028197,471.5243216854068,1.485984528337366,1.485984528337366,640.6717320336695,1.8803803472603269,156.35221552848816,0.00023833861632738262,0.0002793283201754093,4.098970384802669e-05,1.1719809591901091
1,False,50,16,235991.05990451717,0.9953784788326298,341.2574004742732,1.0778041034257269,1.0778041034257269,485.789110524842,1.462122260266469,1611.9837131500244,0.00015809123578947037,0.0001608114835107699,2.720247721299529e-06,1.017206821793221
1,False,50,32,268392.87662365695,0.9947439391941818,370.08366623665233,1.1696886042902714,1.1696886042902714,518.0664789615874,1.5396037092758277,762.0843617916107,0.0001615839428268373,0.0001828842214308679,2.130027860403061e-05,1.1318217530244155
1,False,50,64,219325.22384941872,0.9957048535441622,315.3870693803901,1.006383100134284,1.006383100134284,468.32170977803145,1.5167578824815124,389.03189754486084,0.00016706074529793113,0.0001494571624789387,-1.7603582818992436e-05,0.8946276530276533
2,True,10,16,378733.6637978685,0.9925830849492954,435.853305034687,1.3995926000985808,1.3995926000985808,615.4134088544614,2.0173185393312614,513.7933192253113,0.0004344687913544476,0.00025807300698943436,-0.00017639578436501324,0.5939966509099469
2,True,10,32,551913.8047558204,0.9891916188169377,550.4013061723576,1.8522990396513543,1.8522990396513543,742.9090151262269,2.4843045511593784,246.34258913993835,0.0004413099668454379,0.00037607672857120633,-6.523323827423155e-05,0.8521827214995158
2,True,10,64,590858.7602245237,0.9884289418912368,563.1226752257397,1.7934848079655799,1.7934848079655799,768.6733768152269,2.489755228311875,117.82594704627991,0.000591572723351419,0.0004027477989438921,-0.00018882492440752685,0.6808086023003516
2,True,20,16,1117961.452548538,0.9781064481029597,864.6590838881783,2.8213093280570156,2.8213093280570156,1057.336962632319,3.354185928764003,1024.137858390808,0.00029220854048617184,0.0007617957890033722,0.00046958724851720035,2.6070278019112947
2,True,20,32,445651.72778508655,0.9912725978091406,500.2329601474995,1.6423720576534153,1.6423720576534153,667.5715151091204,1.9855813121977053,498.69176197052,0.00035767100052908063,0.0003036693960893899,-5.400160443969071e-05,0.849018778822411
