units_lstm1,units_lstm2,dropout_rate,feature_att,temporal_att,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
128,64,0.2,False,True,20,64,162560.08964667947,0.9968165112035358,296.2129301630682,1.001410871518731,1.001410871518731,403.18741255981627,1.3819378516653922,379.1399464607239
128,64,0.2,False,False,20,64,273759.2763433075,0.9946388465270826,398.0112439743387,1.2639163298151277,1.2639163298151277,523.2201031528773,1.6394118687277957,354.93815565109253
128,64,0.2,True,True,50,16,124522.04493844486,0.9975614276798448,256.4598126270053,0.8459098553381472,0.8459098553381472,352.87681269593907,1.089729219178459,3729.4635121822357
128,64,0.2,True,False,50,16,137135.52581127774,0.9973144120985273,265.56226702568904,0.8186297200050099,0.8186297200050099,370.31814134778455,1.1243178090916655,3879.6782150268555
128,64,0.2,False,True,50,16,157758.4725028637,0.9969105434744054,301.8694011448054,0.937762279938668,0.937762279938668,397.1882079101338,1.0535957779894949,3734.7166826725006
128,64,0.2,False,False,50,16,109392.6233284342,0.9978577140825967,235.3742099658434,0.7494794776172887,0.7494794776172887,330.745556778068,1.045574299704629,3604.1142184734344
128,64,0.2,True,True,50,32,4440837.358864082,0.9130330451367821,1704.081340659926,4.7152422825794345,4.7152422825794345,2107.3294376684635,2.795951361275866,1814.7765650749207
128,64,0.2,True,False,50,32,119962.02895353959,0.997650728564405,247.22103455417454,0.8106041645771911,0.8106041645771911,346.35535069281025,1.1253927465964584,1813.896592617035
128,64,0.2,False,True,50,32,107783.62448736613,0.9978892238448956,230.66948343994122,0.7309241310771419,0.7309241310771419,328.30416459034774,1.0485512455421102,1756.78986287117
128,64,0.2,False,False,50,32,181948.42836389557,0.9964368204736497,306.53397388534955,0.9203809017209786,0.9203809017209786,426.55413298184743,1.16988838582936,1742.0825035572052
128,64,0.2,True,True,50,64,1532009.4349663667,0.9699979565532154,907.0239665593597,2.4423935001067094,2.4423935001067094,1237.743687104227,2.213001982965028,946.7943229675293
128,64,0.2,True,False,50,64,162255.35393091358,0.9968224789828298,307.90912725677754,0.9947629127970141,0.9947629127970141,402.8093270157899,1.0861335054495225,930.8608038425446
128,64,0.2,False,True,50,64,113920.66638883678,0.9977690393384819,239.115515829151,0.7443064860712431,0.7443064860712431,337.52135693736,1.0230359945556733,903.6237723827362
128,64,0.2,False,False,50,64,111963.18569989661,0.9978073735806448,231.673378267754,0.7359856412329239,0.7359856412329239,334.6090042122247,1.0744270379362204,888.5937647819519
