units_lstm1,units_lstm2,dropout_rate,feature_att,temporal_att,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s),Train Loss Final,Validation Loss Final,Overfit Gap,Loss Ratio
64,32,0.0,True,True,10,32,410570.54458312824,0.9919596087103579,430.01395432790093,1.3461461452873706,1.3461461452873706,640.7577893269251,1.9412675568341413,365.3006942272186,0.00035422222572378814,0.0002797648194245994,-7.445740629918873e-05,0.789800297971002
64,32,0.0,True,False,10,32,589661.5936289262,0.9884523865537789,579.9473496188793,1.7653306614022386,1.7653306614022386,767.8942594061543,1.9792310805079674,355.32465744018555,0.0003439026768319309,0.0004017979954369366,5.789531860500574e-05,1.1683479731485191
64,32,0.0,False,True,10,32,477187.92811780504,0.9906550099334174,492.3247101924965,1.603013431753319,1.603013431753319,690.7879038589233,2.2303342431314506,346.9875316619873,0.00031691521871834993,0.0003251581802032888,8.24296148493886e-06,1.0260099894169632
64,32,0.0,False,False,10,32,547839.6995888454,0.9892714038870793,535.0393202628429,1.711130875681701,1.711130875681701,740.1619414620326,2.3868508716312653,339.4806652069092,0.0004153027548454702,0.00037330074701458216,-4.200200783088803e-05,0.8988641242061672
64,32,0.0,True,True,10,64,1328547.621837975,0.973982442560884,957.5343173003811,3.0651362099970827,3.0651362099970827,1152.6264016748771,2.531221725521302,185.1854751110077,0.00044473630259744823,0.000905281282030046,0.00046054497943259776,2.035546180383342
64,32,0.0,True,False,10,64,448395.43968601665,0.9912188664405351,477.49167986694493,1.502679977631031,1.502679977631031,669.6233565863848,2.076758110976811,180.3611228466034,0.0003722751862369478,0.0003055373963434249,-6.673778989352286e-05,0.8207299536449759
64,32,0.0,False,True,10,64,392220.72863865213,0.9923189615724497,443.7368150429069,1.442494150427471,1.442494150427471,626.2752818359129,1.980283993498178,177.28247690200806,0.00035495017073117197,0.0002672600676305592,-8.769010310061276e-05,0.7529509482416153
64,32,0.0,False,False,10,64,657870.7051620203,0.9871166162373726,603.6637570001878,1.9307505633878217,1.9307505633878217,811.092291396004,2.6068422594170344,174.04941415786743,0.0005495882360264659,0.000448274688096717,-0.00010131354792974889,0.8156555375670922
64,32,0.0,True,True,20,32,313162.61818986427,0.9938671928106975,387.64067020498044,1.2445124577165063,1.2445124577165063,559.6093442660373,1.803980714143683,732.8409326076508,0.00027470127679407597,0.00021339044906198978,-6.131082773208618e-05,0.7768090907781017
64,32,0.0,True,False,20,32,398778.35425749485,0.9921905405821908,465.232915921639,1.4748084666773835,1.4748084666773835,631.4889977327355,1.8065713953396543,710.161839723587,0.0002550798817537725,0.0002717295428737998,1.6649661120027304e-05,1.0652723413761778
64,32,0.0,False,True,20,32,323979.76902503014,0.9936553555844246,391.0222521404142,1.2204727531354849,1.2204727531354849,569.192207452834,1.702979223876489,695.7861747741699,0.000221189548028633,0.00022076137247495353,-4.2817555367946625e-07,0.9980642143469454
64,32,0.0,False,False,20,32,301410.0213224291,0.9940973493056782,389.4335464229862,1.2436361666758604,1.2436361666758604,549.0082160791668,1.6942536315423589,675.1867253780365,0.00023229338694363832,0.0002053822245215997,-2.6911162422038615e-05,0.8841501138877961
64,32,0.0,True,True,20,64,365143.6463222073,0.9928492244948108,412.7819517660076,1.296134297662506,1.296134297662506,604.2711695275617,1.8743655104051817,368.4238312244415,0.0003060986928176135,0.00024881254648789763,-5.728614632971585e-05,0.8128507318917256
64,32,0.0,True,False,20,64,327926.6700125548,0.9935780616120735,400.09010752648624,1.2703997129337397,1.2703997129337397,572.6488190964466,1.8178345607330406,357.95211148262024,0.000274039019132033,0.00022344960598275065,-5.0589413149282336e-05,0.8153933943074428
64,32,0.0,False,True,20,64,350281.7823229376,0.9931402711941518,425.53744997679524,1.3614292188383388,1.3614292188383388,591.8460799252941,1.8318224518050912,350.69784021377563,0.00026758501189760864,0.00023868137213867158,-2.890363975893706e-05,0.8919833381026698
64,32,0.0,False,False,20,64,448543.6916845907,0.9912159631536488,490.61494359758785,1.5279526565109576,1.5279526565109576,669.7340454871551,1.9902223193225008,352.03348422050476,0.0003462337772361934,0.0003056393179576844,-4.059445927850902e-05,0.8827541911059235
64,32,0.0,True,True,50,32,262239.84063767304,0.9948644369200885,352.84995002651544,1.0932317910045304,1.0932317910045304,512.0935858196947,1.5827612103385271,1842.4389822483063,0.00018686351540964097,0.00017869150906335562,-8.172006346285343e-06,0.956267512529823
64,32,0.0,True,False,50,32,228250.22793692083,0.9955300710955136,326.86710419733464,1.0400676162999116,1.0400676162999116,477.75540597351784,1.5217860998435193,1800.974004983902,0.00016630356549285352,0.00015553084085695446,-1.0772724635899067e-05,0.9352225275268558
64,32,0.0,False,True,50,32,220601.64487824554,0.9956798568057027,318.4575087804261,1.0090811431890097,1.0090811431890097,469.6824936893492,1.4965027995861773,1765.2109699249268,0.00016905003576539457,0.00015031897055450827,-1.87310652108863e-05,0.8891980996864086
64,32,0.0,False,False,50,32,256910.11544781967,0.9949688113730493,350.52918231462655,1.1042079991516611,1.1042079991516611,506.86301448006606,1.5691245299930712,1719.8751559257507,0.0001615618384676054,0.00017505986033938825,1.349802187178284e-05,1.083547092554838
64,32,0.0,True,True,50,64,241977.28817443404,0.9952612477787359,323.4413733301773,1.0292451188800902,1.0292451188800902,491.9118703329226,1.589181614852253,924.9760718345642,0.00020765449153259397,0.00016488494293298572,-4.276954859960824e-05,0.7940350421320166
