num_layers,dropout,epochs,batch_size,MSE,RMSE,MAE,MAPE,R2,CVRMSE,Training Time (s),Train_Loss_Final,Val_Loss_Final,Overfit_Gap,Loss_Ratio
2,False,10,64,375478.1743245559,612.762739014503,435.00574238948053,1.3777557107375773,0.9925218996873916,1.9379272404298657,69.6265618801117,0.00030841786065138876,0.00025598189677111804,-5.243596388027072e-05,0.8299840230733583
2,False,20,16,300515.8769136029,548.1932842653245,374.7886602456808,1.2022018151043312,0.9940148641738391,1.7779449994015823,566.6017687320709,0.00024003190628718585,0.00020463466353248805,-3.53972427546978e-05,0.8525310934607717
2,False,20,32,520345.28413022985,721.349626831698,561.2285570896362,1.7217669101638127,0.9896366966231303,1.682527505973704,278.31121706962585,0.00023881466768216342,0.0003545657091308385,0.0001157510414486751,1.4846898332171425
2,False,20,64,996910.2435155117,998.4539265862555,860.1705259044696,2.72165147078752,0.9801453311711484,2.0348428583895046,138.85593676567078,0.000239567321841605,0.0006805873708799481,0.00044102004903834313,2.840902363678519
2,False,50,16,289117.6453851568,537.6966109109827,373.9988074685554,1.1737987703935502,0.9942418736901961,1.6131938610505743,1381.9056601524353,0.00017570897762198,0.0001974583137780428,2.1749336156062782e-05,1.1237804490721828
2,False,50,32,240775.72728100428,490.68903317784094,334.0361100911461,1.071387608489559,0.9952046612437925,1.6160576538773088,686.4276323318481,0.0001802028127713129,0.0001640657865209505,-1.6137026250362396e-05,0.9104507526703196
2,False,50,64,279473.6915530205,528.6527135587412,373.087020276945,1.1640182185795276,0.9944339446522343,1.6296802474766392,341.9075882434845,0.00016631271864753217,0.0001908308477140963,2.4518129066564143e-05,1.1474218524352644
3,True,10,16,591300.232742727,768.9604884145394,546.4875176944141,1.6962973510769845,0.98822354331707,2.261221790454426,413.7642276287079,0.0006058662547729909,0.00040267533040605485,-0.0002031909243669361,0.664627427643963
3,True,10,32,613262.7774316054,783.1109611233936,571.3475179275264,1.8609847730906162,0.9877861327735702,2.614391946858397,209.07435274124146,0.0006689704605378211,0.00041788016096688807,-0.000251090299570933,0.6246616040877678
3,True,10,64,770258.491346265,877.6437154940865,652.4768077062129,2.0535413058581815,0.984659373942873,2.776796857822705,105.0676097869873,0.0008275143336504698,0.0005244679050520062,-0.00030304642859846354,0.6337870943435936
3,True,20,16,433907.35020498576,658.7164414260401,465.1071305310377,1.4988447465477686,0.9913582122395049,2.158774699317815,841.7206556797028,0.00044013833394274116,0.0002956712560262531,-0.00014446707791648805,0.6717689263228724
3,True,20,32,501137.65140235436,707.9107651408858,519.9734978478136,1.640621582771662,0.9900192397751129,2.257197480324817,405.6629636287689,0.0004443168581929058,0.00034147780388593674,-0.00010283905430696905,0.7685456844351376
3,True,20,64,729943.4664027708,854.367290105825,616.0435976835894,1.840803606827688,0.9854622962463466,2.4173829967543767,204.45716738700867,0.0005089765763841569,0.0004969444707967341,-1.2032105587422848e-05,0.9763601978053673
3,True,50,16,421552.8948734468,649.271048848974,470.4456582747671,1.4878962990701017,0.9916042661052006,2.0471412422102144,2042.958244085312,0.00030038782279007137,0.0002871821925509721,-1.3205630239099264e-05,0.9560380640052505
3,True,50,32,560162.6294219134,748.4401308200365,564.2083381017163,1.8262707215904088,0.9888436862096525,2.080261448284879,1016.5173101425171,0.00031165024847723544,0.0003816975513473153,7.004730287007987e-05,1.2247625445907402
3,True,50,64,1004884.3805657029,1002.439215396975,798.3026928866349,2.5098050413736384,0.9799865166225397,3.094013894278314,513.1584982872009,0.000327070418279618,0.0006844629533588886,0.0003573925350792706,2.0927082215479653
3,False,10,16,321503.38725374517,567.0126870306741,399.17345183802087,1.285986711570063,0.9935968726143621,1.862223824153721,384.1628375053406,0.00029416667530313134,0.00021911034127697349,-7.505633402615786e-05,0.7448509966371473
3,False,10,32,864406.8765382916,929.734842058902,762.456073071078,2.3483419868186757,0.9827842953980213,1.9322744172950952,188.1372058391571,0.000299232779070735,0.0005890108295716345,0.00028977805050089955,1.9684034329420828
3,False,10,64,341600.5633102277,584.4660497498787,401.03516797970957,1.2797220357488337,0.9931966131350438,1.8985022865862184,95.98685026168823,0.00032598047982901335,0.00023275225248653442,-9.322822734247893e-05,0.7140067178520015
3,False,20,16,492356.575609157,701.6812492928374,536.6879495241059,1.6850913483839645,0.9901941254811922,1.7537752023038304,769.3475942611694,0.00023421579680871218,0.0003355767112225294,0.00010136091441381723,1.4327671992875883
3,False,20,32,371477.0577616024,609.4891777231179,436.530615388622,1.3451346872665424,0.9926015867452985,1.727604526436326,421.9544219970703,0.0002461430267430842,0.0002531261998228729,6.983173079788685e-06,1.02837038762458
3,False,20,64,418665.89759271475,647.0439688249282,483.62226915981955,1.5381814799099933,0.9916617641350298,1.769760893566064,194.8278203010559,0.00025255419313907623,0.00028532094438560307,3.276675124652684e-05,1.1297414659375022
3,False,50,16,235469.59323797774,485.2520924612049,324.18647900746174,1.0263851130644939,0.9953103392974297,1.5636082601303054,1841.9177231788635,0.00017425861733499914,0.0001604493154445663,-1.3809301890432835e-05,0.9207539799085775
3,False,50,32,474424.9458718372,688.7851231493296,533.507610868142,1.6613479671604536,0.9905512554959672,1.6768644535127688,896.4946784973145,0.00017583314911462367,0.00032327548251487315,0.00014744233340024948,1.8385354760616468
3,False,50,64,353874.0065873124,594.8731012470747,444.03939182175117,1.3847933427553931,0.9929521727220364,1.6160925322348751,460.7131266593933,0.00018672719306778163,0.00024032809596974403,5.36009029019624e-05,1.2870546170664354
4,True,10,16,1347342.035631826,1160.750634560165,869.9993565377995,2.5528589458902595,0.9731660597424241,2.98928592010364,377.01444244384766,0.0006815463420934975,0.0009181721834465861,0.00023662584135308862,1.3471896578980205
4,True,10,32,602899.237365888,776.4658636191857,564.2328998785555,1.7653698092045196,0.9879925351625894,2.4569151169513614,192.75691294670105,0.000720804906450212,0.00041081837844103575,-0.00030998652800917625,0.5699439262479716
4,True,10,64,1178835.8104708141,1085.7420552188323,825.5028187426482,2.524485367691887,0.9765220642753636,3.191981562393413,97.7173523902893,0.0008644066983833909,0.0008032950572669506,-6.11116411164403e-05,0.9293022124530838
4,True,20,16,628965.3142419202,793.0733347187511,560.724585212856,1.7315983898610265,0.9874733978306106,2.350553783245153,752.5429651737213,0.00045223531196825206,0.00042856557411141694,-2.3669737856835127e-05,0.9476605713211161
4,True,20,32,583591.1486754526,763.9313769413144,581.1375079055671,1.8245983895672435,0.9883770790161212,2.4099278065137475,378.44357442855835,0.0004946143017150462,0.00039766187546774745,-9.695242624729872e-05,0.8039837790554745
4,True,20,64,786549.7424926722,886.876396400689,643.2994390381142,1.9370511198368818,0.9843349140444784,2.4810680182300757,192.6330931186676,0.0005672344705089927,0.0005361956427805126,-3.10388277284801e-05,0.9452804275088779
4,True,50,16,961362.6928418986,980.4910467933395,778.3980154426004,2.355084905178224,0.9808533034794803,2.8894300183814607,1887.2561790943146,0.00030961091397330165,0.0006551501573994756,0.0003455392434261739,2.1160434850044414
4,True,50,32,630574.7087989552,794.0873433061096,589.7346761579767,1.744301272003627,0.9874413447986022,2.180343894734127,946.6146218776703,0.00032023972016759217,0.00042967661283910275,0.00010943689267151058,1.3417342877212064
4,True,50,64,2029474.2860280676,1424.5961834948414,1111.826949622546,3.269309137204901,0.959580573970569,3.9161886097585334,522.5943775177002,0.00033330361475236714,0.001382753369398415,0.001049449754646048,4.148629982383336
4,False,10,16,388524.9317441752,623.3176812382071,451.40546604960656,1.4269098869929462,0.9922620577913515,1.8348056883064585,493.14051961898804,0.00030631371191702783,0.0002647886285558343,-4.152508336119354e-05,0.8644360936331784
4,False,10,32,1210524.9717130566,1100.2385976291946,897.7690310257242,2.691786302781845,0.9758909364421194,2.2573502493114574,250.74739480018616,0.00033161378814838827,0.0008248573285527527,0.0004932435404043645,2.4874035942789305
4,False,10,64,448902.38793048944,670.0017820353088,481.408511123525,1.5126605268725941,0.9910595679933929,2.0255371265709727,132.196209192276,0.000340516708092764,0.0003062256728298962,-3.429103526286781e-05,0.8992970551873002
4,False,20,16,288569.8550257814,537.1869832989081,374.2902995448144,1.1974090640924981,0.9942527835953193,1.7352221631218054,1029.0669345855713,0.00023902264365460724,0.00019659940153360367,-4.242324212100357e-05,0.8225137105323542
4,False,20,32,308502.4034951,555.4299267190237,381.49642806691867,1.2151024940166641,0.9938558028727843,1.7976727468204203,503.6283552646637,0.00023661417071707547,0.00021021507564000785,-2.6399095077067614e-05,0.8884297800209373
4,False,20,64,308070.9740217564,555.0414164922797,389.3730937078137,1.2472117987522622,0.9938643953106411,1.7631274800331505,255.13619446754456,0.00025149446446448565,0.00021005079906899482,-4.1443665395490825e-05,0.8352104270615339
4,False,50,16,243290.25238194803,493.2446171849704,338.30019581990206,1.0730389170316494,0.9951545814462722,1.601645496440961,2059.345682621002,0.00016839952149894089,0.0001657746615819633,-2.6248599169775844e-06,0.984412901571136
4,False,50,32,247081.497396057,497.0729296552539,338.253136997614,1.0783487257125073,0.9950790742331668,1.6189606766623221,900.3457579612732,0.00017577460675965995,0.00016836251597851515,-7.412090781144798e-06,0.9578318454651445
4,False,50,64,476455.75156292855,690.257742848951,519.6389696991714,1.552870500151446,0.9905108095534015,1.781088827473249,451.3931932449341,0.00017233406833838671,0.0003242535749450326,0.00015191950660664588,1.8815407659752115
