num_layers,dropout,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
1,True,10,16,190991.62275705492,0.9962597234500356,327.9763215961544,1.0979127527852812,1.0979127527852812,437.02588339485675,1.3997278001317006,360.56418800354004
1,True,10,32,331834.6271991258,0.9935015302940388,460.24598155572755,1.3656005374253035,1.3656005374253035,576.0508894178759,1.2224265564833732,162.5972192287445
1,True,10,64,159215.05777830924,0.9968820184968691,302.94321836979384,1.0140701255356246,1.0140701255356246,399.01761587467445,1.2228560686253709,80.18524146080017
1,True,20,16,113730.65470901654,0.9977727604243599,238.9666202012573,0.7589700741258132,0.7589700741258132,337.2397584938889,1.0925475576495802,683.5311896800995
1,True,20,32,114996.78118857025,0.9977479652887806,241.6299183776432,0.7694834919000457,0.7694834919000457,339.1117532445171,1.0433739123396737,308.4637212753296
1,True,20,64,114534.5855258205,0.9977570166784381,244.95847124686583,0.7860261244449069,0.7860261244449069,338.4295872494314,1.1102596066854522,157.40518951416016
1,True,50,16,143996.17510173598,0.9971800568567204,280.51346266187716,0.9474620959415283,0.9474620959415283,379.46827944076693,1.2292013802153094,1597.460659980774
1,True,50,32,112613.9578691219,0.9977946292107672,229.30876145546472,0.7331836790517829,0.7331836790517829,335.58003198808166,1.0973656552871849,772.113178730011
1,True,50,64,105031.0799843186,0.9979431281863996,222.84300892761516,0.7145462981291175,0.7145462981291175,324.0849888290394,1.0659324392139577,393.04074478149414
1,False,10,16,132235.01828467174,0.9974103809851209,251.51224148250526,0.802035381835734,0.802035381835734,363.6413319256651,1.1658418596218527,313.81773614883423
1,False,10,32,115568.96360099816,0.9977367599781569,242.42296797541357,0.7699548208581891,0.7699548208581891,339.9543551728646,1.0454183375686992,151.39466381072998
1,False,10,64,102748.0179574603,0.9979878384372363,222.7643395276803,0.7091046544700176,0.7091046544700176,320.5433168192098,1.029635314733483,77.43013286590576
1,False,20,16,116370.95827205831,0.9977210541486653,243.09272773316005,0.7734342598491373,0.7734342598491373,341.13187812348804,1.0565513445511348,627.3537266254425
1,False,20,32,115349.57886099227,0.997741056290145,240.4550655058373,0.7603093071812334,0.7603093071812334,339.63153396142746,1.0697622034016645,300.9556767940521
1,False,20,64,100012.43392311408,0.9980414106341023,219.85372023459954,0.7063438828925828,0.7063438828925828,316.24742516440205,1.0143458752351355,154.4743058681488
1,False,50,16,110359.01440529569,0.997838788802887,236.6552845349263,0.7566168456368774,0.7566168456368774,332.20327271912254,1.0516073584277053,1562.4437773227692
1,False,50,32,113272.87501898619,0.9977817253339981,235.15502413753666,0.7540142370753421,0.7540142370753421,336.5603586564915,1.0522882122322164,760.2896473407745
1,False,50,64,112468.69823778725,0.9977974738967534,235.95407855958362,0.7502053008679038,0.7502053008679038,335.3635314666567,1.0461061057364616,389.5865652561188
2,True,10,16,200868.7862003363,0.996066294427999,338.8746497507758,1.0793216976558664,1.0793216976558664,448.183875435447,1.3045588172173546,532.4633984565735
2,True,10,32,382242.19519567327,0.9925143757696854,494.2886576904455,1.4597174668295663,1.4597174668295663,618.257385880406,1.4583982752458766,259.83857703208923
2,True,10,64,126868.64816812388,0.997515473072489,259.5287947220841,0.8352266310350042,0.8352266310350042,356.18625488376705,1.0962374904695367,132.41201257705688
2,True,20,16,136597.17879501727,0.9973249547950687,267.38271462814146,0.8511545288340531,0.8511545288340531,369.59055560852374,1.1976624374280926,1058.3274676799774
2,True,20,32,117772.0779987636,0.9976936153784102,241.47990237043828,0.7658539700704033,0.7658539700704033,343.17936709359964,1.1084966185303113,520.7182717323303
2,True,20,64,108545.87242866155,0.9978742963938435,226.76803330701355,0.724787205584836,0.724787205584836,329.463006161028,1.0798972067396593,264.1642405986786
2,True,50,16,163397.84665269204,0.9968001050238358,303.20431929268653,0.9460784785257036,0.9460784785257036,404.22499508651373,1.099686808133094,2641.5910823345184
2,True,50,32,114616.97136032683,0.9977554032788533,238.10404383890398,0.7584083058740447,0.7584083058740447,338.5512832058488,1.0858901496941087,1298.9298219680786
2,True,50,64,112414.37728184773,0.9977985376889489,233.47345808088969,0.743833322821855,0.743833322821855,335.28253351740193,1.086855976164487,656.9725840091705
2,False,10,16,189427.00588785036,0.996290364059823,337.68491305515533,1.0674021970324759,1.0674021970324759,435.23212874034283,1.1053524538139716,520.2289063930511
2,False,10,32,111457.5361830719,0.9978172759470574,236.1217896519356,0.7507383353848457,0.7507383353848457,333.8525665365955,1.0612622902723738,255.91598224639893
2,False,10,64,102952.64278870959,0.9979838311753113,221.53684217029357,0.7047568302103455,0.7047568302103455,320.8623424285087,1.038116531111077,128.9564483165741
2,False,20,16,166078.4682552094,0.9967476091814815,301.84733693263735,0.9264510023542317,0.9264510023542317,407.5272607509949,1.144262829249575,1033.4400684833527
2,False,20,32,105309.42573863557,0.9979376772138249,224.46604331115012,0.7152119715897162,0.7152119715897162,324.5141379641811,1.0549216496180789,509.1265859603882
2,False,20,64,104212.43770041382,0.9979591600337293,225.25625779549046,0.7316918927697207,0.7316918927697207,322.81951257694107,1.0438286400640169,256.1819372177124
2,False,50,16,106174.1776821819,0.9979207423798814,229.3435549959238,0.7251689405267486,0.7251689405267486,325.8437933767987,1.0189234777396106,2588.9758019447327
2,False,50,32,108770.98425069974,0.9978698879257811,226.03193548228253,0.7269587120776458,0.7269587120776458,329.8044636609695,1.0818200565077878,1274.5249817371368
2,False,50,64,112733.744971181,0.9977922833650053,229.52525370208033,0.7368206699436246,0.7368206699436246,335.7584622480586,1.1011777895877741,644.7216460704803
