num_layers,dropout,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s),Train Loss Final,Validation Loss Final,Overfit Gap,Loss Ratio
1,True,10,16,338327.221420737,0.9933743828434597,413.65743381536146,1.320068919423104,1.320068919423104,581.6590250488141,1.8827614351915614,476.6403024196625,0.00033070528297685087,0.00023054682242218405,-0.00010015846055466682,0.6971367991067811
1,True,10,32,256300.3279578902,0.9949807531211539,355.7068476896263,1.1460162500109812,1.1460162500109812,506.2611262558979,1.658634705285257,254.98763060569763,0.0002392785536358133,0.0001746442576404661,-6.46342959953472e-05,0.7298784407827795
1,True,10,64,256364.5683068748,0.9949794950729348,358.678997901049,1.1578640372507727,1.1578640372507727,506.3245681446584,1.6094280557114629,130.6839954853058,0.0001903736701933667,0.0001744056644383818,-1.5968005754984915e-05,0.9161228244495898
1,True,20,16,264072.72182079975,0.9948285427671977,365.4685179442521,1.1792937678484776,1.1792937678484776,513.8800655997464,1.6813066608624467,996.6100215911865,0.00020180833234917372,0.00017994207155425102,-2.186626079492271e-05,0.8916483747703283
1,True,20,32,229742.24319089067,0.9955008522764573,335.9342431933807,1.0633675989360374,1.0633675989360374,479.3143469487333,1.5087031094057581,403.8549461364746,0.0001556704955874011,0.0001565474522067234,8.769566193223e-07,1.005633415735032
1,True,20,64,227285.0696728252,0.9955489722324855,332.7002413319451,1.0488611521019504,1.0488611521019504,476.74423926548417,1.5021991409307898,180.30374598503113,0.00013090763241052628,0.00015494640683755279,2.403877442702651e-05,1.183631572769118
1,True,50,16,240245.79894324153,0.9952951563265269,352.49704566059825,1.1305304882671345,1.1305304882671345,490.1487518531915,1.5338767797031747,1853.748190164566,0.00015454668027814478,0.00016370299272239208,9.156312444247305e-06,1.059246257685822
1,True,50,32,212389.70109081187,0.9958406750674378,327.95965894541644,1.032527182023183,1.032527182023183,460.8575713719065,1.4461849818350703,889.1490550041199,9.811112977331504e-05,0.00014472336624749005,4.6612236474175006e-05,1.4750963176336078
1,True,50,64,200016.0902645642,0.9960829931636125,314.3002109518504,0.9973003518574309,0.9973003518574309,447.23158460082425,1.43246734407146,450.19316005706787,7.697042019572109e-05,0.00013619680248666555,5.922638229094446e-05,1.7694693901935714
1,False,10,16,290735.9296671432,0.9943063849384149,377.79814230564875,1.2062721429543655,1.2062721429543655,539.1993413081503,1.752419419900066,365.0198345184326,0.0002775336033664644,0.0001981023233383894,-7.943128002807498e-05,0.7137958104367227
1,False,10,32,260507.96313910186,0.9948983530714978,349.3305051968715,1.0962314683819487,1.0962314683819487,510.39980715033767,1.5703185590662514,215.42113304138184,0.00020534252689685673,0.00017751133418641984,-2.783119271043688e-05,0.8644645455034433
1,False,10,64,292076.54549029825,0.9942801310438542,391.7706336767577,1.2150295686513626,1.2150295686513626,540.4410656956948,1.5258182234089035,117.75570869445801,0.0001759139122441411,0.00019855306891258806,2.2639156668446958e-05,1.1286945209712995
1,False,20,16,240846.2537514617,0.9952833973446089,341.1546530011836,1.0898231045264009,1.0898231045264009,490.76089264677734,1.5878824913301182,868.4876174926758,0.00018408971664030105,0.00016410977696068585,-1.99799396796152e-05,0.8914662913048279
1,False,20,32,219656.56362600965,0.9956983647653426,320.9546333565334,1.0178964004425184,1.0178964004425184,468.675328586869,1.4883950375393238,354.25794982910156,0.0001475634635426104,0.0001496750337537378,2.1115702111274004e-06,1.0143095733891991
1,False,20,64,215572.43815584306,0.9957783460676776,318.96635372412965,1.0104205080848816,1.0104205080848816,464.29779038440734,1.4659188506570509,179.7349498271942,0.00012445446918718517,0.00014689705858472735,2.244258939754218e-05,1.1803277097569513
1,False,50,16,262795.60805928096,0.9948535530717592,348.6607690527455,1.0978134942460958,1.0978134942460958,512.6359410529864,1.5958448316771952,1843.729633808136,0.0001253277441719547,0.0001790683891158551,5.3740644943900406e-05,1.4288008636792033
1,False,50,32,222722.33497796388,0.9956383263587898,322.81363146184,1.0245304773462072,1.0245304773462072,471.9346723625674,1.504869775546253,1132.9399392604828,9.280464291805401e-05,0.00015176404849626124,5.8959405578207225e-05,1.6353066368701838
1,False,50,64,217581.75594646967,0.9957389966757764,323.11892967804164,1.0330042269778124,1.0330042269778124,466.45659599417144,1.5012205831157983,591.3056926727295,5.658511508954689e-05,0.0001480948703829199,9.150975529337302e-05,2.617205428469259
2,True,10,16,451867.0793002915,0.991150879729643,501.2411496702851,1.6249691170103835,1.6249691170103835,672.2105914817852,1.949412601709329,793.8839671611786,0.0003692643949761987,0.0003079036541748792,-6.136074080131948e-05,0.8338297934051438
2,True,10,32,281182.71966325276,0.9944934698316612,377.67953647833593,1.2062214273306653,1.2062214273306653,530.2666495860858,1.6641493116949753,416.38588309288025,0.0002442051481921226,0.00019159929070156068,-5.26058574905619e-05,0.7845833395405101
2,True,10,64,244823.4271808756,0.9952055105331433,345.26166460759794,1.0876340084921323,1.0876340084921323,494.7963491992191,1.5474146738550585,226.38652110099792,0.00020328612299636006,0.0001667191827436909,-3.6566940252669156e-05,0.8201208242171852
2,True,20,16,313607.8702357696,0.9938584732356601,405.06801609344495,1.2639347674000332,1.2639347674000332,560.0070269521353,1.7351616259562608,1675.735238313675,0.00021599650790449232,0.0002136853290721774,-2.3111788323149085e-06,0.9892999250092652
2,True,20,32,219451.8975118814,0.995702372835729,325.64340564449566,1.0400826974677864,1.0400826974677864,468.4569323981463,1.5208070223381098,823.0803153514862,0.000165757883223705,0.0001495355973020196,-1.6222285921685398e-05,0.9021326430683723
