units_lstm1,units_lstm2,dropout_rate,feature_att,temporal_att,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
64,32,0,True,True,10,16,156158.38461997037,0.9969418787293233,283.49629978707185,0.9401531600807472,0.9401531600807472,395.1688052212249,1.307634697496839,689.8813264369965
64,32,0,True,False,10,16,288517.80119228124,0.99434982356572,434.4550057084509,1.3214447043837068,1.3214447043837068,537.1385307276711,1.174995695860406,668.6320629119873
64,32,0,False,True,10,16,198192.2717047168,0.996118709838995,327.08221157656055,0.9977093819794286,0.9977093819794286,445.1879060629532,1.3193034870071423,652.322582244873
64,32,0,False,False,10,16,151548.33576873894,0.9970321594304532,283.7691946464596,0.9021758392621395,0.9021758392621395,389.2920956926032,1.2355239493942622,636.3761646747589
64,32,0,True,True,10,32,301511.3309440219,0.9940953653128912,405.50253133598585,1.22464715879936,1.22464715879936,549.1004743614977,1.4669450868881266,342.38458776474
64,32,0,True,False,10,32,220485.52270014663,0.9956821308795778,337.2293061260139,1.0354022183604146,1.0354022183604146,469.55885967591604,1.2982422142550452,333.7461757659912
64,32,0,False,True,10,32,202133.2988786201,0.9960415308962302,347.32470990138506,1.0755412722018867,1.0755412722018867,449.59236968460675,1.2464853210451698,331.94981026649475
64,32,0,False,False,10,32,349858.3044528747,0.9931485643555166,447.63615706378624,1.4377501750326511,1.4377501750326511,591.4882115924836,1.7222272122688798,320.2824544906616
64,32,0,True,True,10,64,266359.8832101256,0.9947837522366655,387.80717122022236,1.2093533968352106,1.2093533968352106,516.1006522085838,1.4054434886504632,173.74150204658508
64,32,0,True,False,10,64,366280.8899210349,0.9928269533317992,491.4605104268702,1.5716036183754567,1.5716036183754567,605.2114423249407,1.3932242236432608,170.5972192287445
64,32,0,False,True,10,64,158339.76865330516,0.9968991596852701,279.50997543788714,0.9035326671277469,0.9035326671277469,397.9192991717104,1.3008502644841664,169.8545162677765
