num_layers,dropout,epochs,batch_size,MSE,R2,MAE,MAPE,RMSE,Training Time (s)
1,True,10,16,94.15362660535028,0.914954792231018,4.905640642611207,20.90020096350275,9.70327916764999,176.1862132549286
1,True,10,32,98.53642723810881,0.9109959835917575,5.0025463167503945,23.26382618166753,9.926551628743429,116.75952553749084
1,True,10,64,92.5187092165635,0.9164315477637316,5.0816282801776245,24.06068882052313,9.618664627512672,98.6993772983551
1,True,20,16,89.34169910289752,0.9193012140202783,4.6438443663879765,16.934078055362548,9.45207379906111,461.2405860424042
1,True,20,32,93.89094744994357,0.9151920598133044,4.867269494536828,21.157964048594362,9.689734126896546,257.7861225605011
1,True,20,64,91.00170933244226,0.9178017931274219,4.80100083016665,19.985668210815522,9.539481607112739,719.5831761360168
1,True,50,16,110.7605606894183,0.8999544124208463,5.068012832460032,19.845245359722323,10.524284331460182,1954.9733638763428
1,True,50,32,106.187841746386,0.9040847666790989,4.994218816714747,18.12826229944321,10.304748504761578,737.070725440979
1,True,50,64,105.05864779757586,0.9051047224412976,5.015677633306856,19.36671676188749,10.249812085964106,3281.204651117325
1,False,10,16,92.21341783934305,0.9167073052628518,4.9578381867680035,19.915244656401377,9.602781776097125,704.3865220546722
1,False,10,32,91.13016174973878,0.9176857671928799,4.926018367229452,24.4550192386421,9.546211905763395,366.27899527549744
1,False,10,64,92.58612366945643,0.9163706549828624,4.982344596789031,21.62576686019713,9.622168345516329,631.1221649646759
1,False,20,16,95.68940839440465,0.9135675819232791,4.888234645362583,19.454610926566783,9.782096319010801,1196.2534582614899
1,False,20,32,94.43011564488705,0.9147050507323521,4.951977248878613,20.200661128304976,9.717515919456321,356.83249950408936
1,False,20,64,96.86851217801072,0.9125025446021116,5.127735507844335,20.891979361366158,9.842180255309833,679.0834767818451
1,False,50,16,119.85006572412948,0.8917442258134374,5.3999732929597215,19.65160738535515,10.94760547901364,2664.190047264099
1,False,50,32,119.13743258865426,0.8923879188421041,5.323801503974306,19.11697180277538,10.915009509324959,1081.333421945572
1,False,50,64,120.07629133182327,0.8915398852638202,5.450733696861177,20.432485289010774,10.957932803764734,2705.9497952461243
2,True,10,16,94.46328750244943,0.9146750879192329,6.178503670656906,65.38906212570465,9.719222577060854,859.8819830417633
2,True,10,32,88.42663702138657,0.9201277530251943,4.739794117609734,20.00313537682443,9.403543854387374,310.626496553421
2,True,10,64,94.01638976982426,0.9150787527794502,5.046161359013372,21.36393981480233,9.696204915833011,737.596296787262
2,True,20,16,102.66539489220519,0.9072664521368949,7.143129274962737,92.2615518213491,10.1323933447239,1687.120594739914
2,True,20,32,98.57415178258132,0.9109619085185147,6.721181492692766,82.06051181266709,9.928451630671388,1101.2752730846405
2,True,20,64,87.35329990120958,0.9210972555465813,4.68582954387533,18.19412812896567,9.346298727368476,2017.8157505989075
2,True,50,16,113.83862822846254,0.8971741170374063,7.271139284614739,90.16985617545852,10.669518650270149,5764.1828372478485
2,True,50,32,100.90731429492158,0.9088544560732416,4.959892522120854,25.666448112535623,10.045263276535941,5033.746736288071
2,True,50,64,100.67103534570268,0.9090678774044452,4.8599576508507765,20.12997713990258,10.033495669292067,6911.762280464172
2,False,10,16,90.83567096827538,0.9179517689455322,4.751625159274272,18.605477406406262,9.530774940595093,1523.8606464862823
2,False,10,32,93.98798957483685,0.9151044055404798,4.884763698460974,19.071505173606475,9.694740304661948,1566.616999387741
2,False,10,64,94.48182921976557,0.9146583399270588,5.037299735193574,23.984595440711136,9.720176398593061,1478.0397598743439
2,False,20,16,98.41243877723578,0.9111079774128782,4.810519370678533,16.69849541007325,9.920304369183224,3224.187659263611
2,False,20,32,97.1929213532676,0.9122095187601275,4.7527991774766996,16.6918239593047,9.858647034622326,2796.253807067871
2,False,20,64,94.56281780697269,0.9145851861731964,4.839455476795919,18.10831754561307,9.724341510198657,3185.872176885605
2,False,50,16,117.6249008129752,0.8937541283420205,5.240815691443207,17.647480553770254,10.84550140901633,7799.55602812767
2,False,50,32,114.82091238716582,0.8962868590169027,5.200819214340589,18.04807079080738,10.71545203839604,7412.008646726608
2,False,50,64,113.57404718253007,0.8974131025213896,5.289702177017304,22.518488462771067,10.657112516180453,8321.728407859802
3,True,10,16,106.91919735317683,0.9034241623903948,7.500416766915882,102.2679054205653,10.340173951785184,2611.6892096996307
3,True,10,32,94.33011477710495,0.9147953775193728,5.859403971692327,48.224108146874926,9.712369163963288,1810.171143770218
3,True,10,64,89.82548589673374,0.9188642287454557,5.083868153463081,29.69060401804508,9.477630816651054,1842.1797497272491
3,True,20,16,111.12114582889718,0.8996287102762658,7.828378848899449,112.17964930331186,10.541401511606376,4648.875636339188
3,True,20,32,97.26342978494215,0.9121458313118854,6.142001541127293,60.969538112873245,9.862222355277849,4212.883333683014
3,True,20,64,93.14183294900214,0.915868705001305,4.735584494724731,17.204599478211204,9.651001655217044,4968.50216293335
3,True,50,16,131.46455890773612,0.8812533183301655,8.716270780393565,126.98916742809958,11.465799531987996,13218.587883472443
3,True,50,32,116.534898034629,0.8947386842863366,7.548432147153231,101.50434076352673,10.79513307164988,12654.95303440094
3,True,50,64,96.92510030714465,0.9124514308067861,4.745602280525132,16.930734985177917,9.845054611689294,12534.877777338028
3,False,10,16,88.40868454291801,0.9201439687814681,4.689878373121526,18.66862581785035,9.40258924674039,2875.1136322021484
3,False,10,32,90.43640251763456,0.918312412178986,4.709155737135803,17.267984120951617,9.509805598309281,2575.3899462223053
3,False,10,64,95.43476180524846,0.913797594009518,5.168606282326795,24.58626108936886,9.769071696187334,2604.25616812706
3,False,20,16,99.38355274225468,0.910230808981878,4.749460619374746,18.493618357343674,9.969129989234501,5813.198287963867
3,False,20,32,93.86034358111911,0.9152197030648344,4.969801336240478,25.407866841540777,9.688154807863008,4928.953250408173
3,False,20,64,88.43336321397177,0.9201216775242654,4.701604438442631,17.1430818847976,9.403901488955091,6021.522553443909
3,False,50,16,109.1032229417851,0.9014514193676061,4.996097927472714,17.496090331746984,10.445248821439588,15911.427769422531
3,False,50,32,118.78783407920274,0.8927036972028958,5.127542944681291,17.087489706347956,10.898983167213478,13858.853713989258
3,False,50,64,114.071491423806,0.8969637810201572,5.06481102998593,16.928201147197026,10.680425619974422,15069.974646806717
