num_layers,dropout,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
1,True,10,16,868170.4385234397,0.982709339525797,718.6006173479889,2.1737852870094847,2.1737852870094847,931.7566412553439,2.2236098689437784,323.16739106178284
1,True,10,32,611240.1830663288,0.9878264151776872,579.0453844406483,1.8551380730037168,1.8551380730037168,781.8185103119066,2.481221106524914,155.2575294971466
1,True,10,64,606452.9901199415,0.9879217578940336,572.4416621575702,1.8284370228423965,1.8284370228423965,778.7509166093748,2.4450813304084456,80.59119749069214
1,True,20,16,384386.3033645645,0.9923444835627961,435.8585521280493,1.3905951906491534,1.3905951906491534,619.9889542278672,2.026077359510117,639.1625282764435
1,True,20,32,385319.84475153795,0.9923258909611081,436.22079644333445,1.393689912319254,1.393689912319254,620.7413670374626,2.030700049157649,309.9461941719055
1,True,20,64,749547.1645361515,0.9850718649745337,662.6046583705272,2.0122138599426993,2.0122138599426993,865.7639196317616,2.248198406428791,159.3132266998291
1,True,50,16,316679.19996018725,0.9936929521177126,402.86772505050794,1.2948728783567809,1.2948728783567809,562.7425698844786,1.7702467039146452,1645.9854695796967
1,True,50,32,475312.08371156617,0.9905335870768412,505.9796971973899,1.520425288563116,1.520425288563116,689.4288097487413,1.9652127336960508,818.1560213565826
1,True,50,64,501476.58143425116,0.9900124895750991,514.2881027070864,1.5506050184898919,1.5506050184898919,708.150112217919,2.013436469371533,408.3739767074585
1,False,10,16,1509054.7983119346,0.9699453552012712,1061.7477972499357,3.1944986348554236,3.1944986348554236,1228.435915427392,2.052957092740401,308.82337379455566
1,False,10,32,333341.47832044575,0.9933611027652468,403.5091331005278,1.3260201302297174,1.3260201302297174,577.3573229122895,1.926738718641199,151.87420654296875
1,False,10,64,394110.88204878854,0.9921508068596714,444.86834853605086,1.4029608485413323,1.4029608485413323,627.7825117417564,1.9027685345752936,75.16649866104126
1,False,20,16,499183.37258538604,0.9900581615927614,539.5318561469106,1.6527336990237138,1.6527336990237138,706.5291024334284,1.7531816069633652,635.7666313648224
1,False,20,32,358299.53211098665,0.9928640330482416,430.4682328169072,1.4095125558027684,1.4095125558027684,598.5812660875603,1.8992169073949923,305.3805937767029
1,False,20,64,334966.9621934155,0.9933287292951232,393.5021021667895,1.2473572241196507,1.2473572241196507,578.763304117854,1.8493830747796833,148.09083127975464
1,False,50,16,293688.7708267033,0.9941508342185813,378.5201587206494,1.1854028756315262,1.1854028756315262,541.9305959499826,1.6946031891217437,1553.3805992603302
1,False,50,32,260065.07482772032,0.994820490642722,349.45952782435245,1.1124421313624142,1.1124421313624142,509.96575848552845,1.650243190579639,775.8616766929626
1,False,50,64,254572.99550077578,0.9949298720207623,342.29246125964613,1.101097669332929,1.101097669332929,504.5522723175229,1.6563961788625594,376.6096169948578
2,True,10,16,1379004.4799015245,0.9725354640098836,865.8740601015991,2.559254836428524,2.559254836428524,1174.3102145095752,2.92432014585486,348.78657817840576
2,True,10,32,1870040.6952178387,0.9627558860574114,994.9239141467631,2.8242126401317296,2.8242126401317296,1367.4943126820815,3.0560347851493264,167.20965433120728
2,True,10,64,1056104.68149668,0.9789664026063445,784.6787841884943,2.414021866121703,2.414021866121703,1027.669539052647,3.133517929341257,85.35443115234375
2,True,20,16,735614.5427834463,0.9853493499262803,638.4232883063391,1.9671366671972532,1.9671366671972532,857.6797437175757,2.5930350727781026,678.2972903251648
2,True,20,32,1571368.2128757637,0.9687043084592929,955.2787254888356,2.7340803517301158,2.7340803517301158,1253.5422660906827,2.9231059104011763,339.56260538101196
2,True,20,64,1185967.1405965616,0.9763800352422817,813.7693610754586,2.360957431149826,2.360957431149826,1089.0211846408506,2.7131606709121687,174.49526405334473
2,True,50,16,1151993.5663022506,0.9770566599142955,798.0090118476038,2.2804038141079856,2.2804038141079856,1073.3096320737322,2.702078833570591,1728.439339876175
2,True,50,32,1558026.9533333792,0.9689700157199984,898.4629489353368,2.5100279533231595,2.5100279533231595,1248.2094989757845,2.8564369782759345,846.7369840145111
2,True,50,64,847235.7623398748,0.9831262788293778,713.9302287527356,2.1564765815895512,2.1564765815895512,920.4541065908038,2.7235898115346275,420.9250912666321
2,False,10,16,516914.0545229476,0.9897050336955713,518.9482133281473,1.5937498522221865,1.5937498522221865,718.9673528908997,2.0060948936333856,311.2141864299774
2,False,10,32,496805.68536465464,0.9901055160990003,527.0568553791874,1.6704908484373227,1.6704908484373227,704.8444405431986,1.9638938415118905,149.17036175727844
2,False,10,64,690102.6221900801,0.9862557746691536,621.9748981417746,1.9321834873174477,1.9321834873174477,830.7241552946923,1.9913261430327482,75.11442112922668
2,False,20,16,298603.22980929824,0.9940529568457616,381.70951985984163,1.2049580960297424,1.2049580960297424,546.445998987364,1.6786286176927563,632.4531035423279
2,False,20,32,284570.9634634185,0.9943324263396582,363.9310151122674,1.169628157668792,1.169628157668792,533.4519317271412,1.731497219072339,309.65757489204407
2,False,20,64,317313.0116933093,0.993680328993271,386.85845754600604,1.2395561704353792,1.2395561704353792,563.3054337509175,1.8325348714665692,147.63960361480713
2,False,50,16,264429.6067363917,0.9947335657302705,360.6282365062781,1.1345198999748842,1.1345198999748842,514.2271936959302,1.5858944352802293,1533.711184978485
2,False,50,32,311349.6342867477,0.9937990968405058,391.9873550001979,1.208676173030142,1.208676173030142,557.9871273486044,1.658259599563277,756.2343747615814
2,False,50,64,245773.2647380527,0.9951051292630401,337.8934199380552,1.0748242911356487,1.0748242911356487,495.75524680839504,1.6148293029868268,371.3018698692322
3,True,10,16,671721.1240207974,0.9866218643558663,596.3166407271638,1.8351597114843556,1.8351597114843556,819.5859466955235,2.513214776930976,455.04982590675354
3,True,10,32,781486.0452751428,0.9844357636765868,680.9387661430727,2.1383532499784796,2.1383532499784796,884.0169937705625,2.4764011290190022,224.8708746433258
3,True,10,64,745529.6554512467,0.9851518785092692,623.51997814817,1.9409502958227354,1.9409502958227354,863.4405917324287,2.6146946279966046,115.33099675178528
3,True,20,16,505641.4347736063,0.9899295415019786,522.2878374863609,1.6861399776129733,1.6861399776129733,711.0846888898722,2.2359269914262536,918.0045223236084
3,True,20,32,527968.1270551699,0.9894848785203536,535.9517727768089,1.7475842658636342,1.7475842658636342,726.6141528040655,2.392708908258194,451.297899723053
3,True,20,64,1492477.297979217,0.9702755160971566,880.6929713163834,2.5022591046211047,2.5022591046211047,1221.6698809331501,2.9794315828022837,226.67276215553284
3,True,50,16,277852.5850236576,0.9944662309422853,364.5935966057025,1.1605246866133907,1.1605246866133907,527.117240302058,1.7120777280610708,2263.933512210846
3,True,50,32,399175.79404884914,0.992049933033705,466.42201623867567,1.5009502533480996,1.5009502533480996,631.8036040169834,1.9878947073656166,1113.2688119411469
3,True,50,64,832961.6249295758,0.9834105654769897,679.9977896671699,2.066129356404859,2.066129356404859,912.6673133894825,2.675674228164432,553.2329902648926
3,False,10,16,429187.12547436886,0.991452221203134,469.22077320752896,1.4402584248638592,1.4402584248638592,655.1237482143117,1.8667480029832169,416.6795299053192
3,False,10,32,603994.4438645813,0.9879707228053866,574.7209700065941,1.8629073049721445,1.8629073049721445,777.170794526262,2.043410316617043,208.40651392936707
3,False,10,64,349169.9817786153,0.9930458590446988,413.7488948476878,1.3297909039226905,1.3297909039226905,590.9060684902596,1.91002980978329,103.93627643585205
3,False,20,16,296516.3452172867,0.9940945196672171,377.3638476135568,1.1963180837476806,1.1963180837476806,544.5331442780015,1.7567030155300023,857.9993696212769
3,False,20,32,352880.0775322695,0.9929719680169043,425.0942112531992,1.335862288263922,1.335862288263922,594.0371011412246,1.7535170759761802,405.4567630290985
3,False,20,64,433762.8995879869,0.991361089147613,481.0653656337555,1.5453945739146902,1.5453945739146902,658.6067867764398,2.1614959537989735,204.6462893486023
3,False,50,16,263091.5744560763,0.9947602142555322,348.552980749791,1.113286648863452,1.113286648863452,512.9245309556527,1.678520062933173,2146.691002845764
3,False,50,32,300267.9953951465,0.9940198010329894,382.63011819047404,1.2116407667133904,1.2116407667133904,547.9671480984481,1.6011236972056482,1022.4220938682556
3,False,50,64,261943.03709703565,0.9947830887610853,351.0268496344807,1.1069109427458828,1.1069109427458828,511.8037095381741,1.6137933836858613,506.319372177124
4,True,10,16,614974.5762483246,0.9877520402373278,577.1145361053848,1.809092897044563,1.809092897044563,784.2031473083518,2.367662777223914,438.36686515808105
4,True,10,32,1139185.2642295717,0.9773117526847501,826.5182307907411,2.479861014602992,2.479861014602992,1067.3262220284723,2.757091239209328,222.517071723938
